Question,Answer
What is agriculture?,Agriculture is the practice of cultivating soil growing crops and raising animals for food fiber and other products.
What is a crop?,A crop is a plant that is grown and harvested for food fiber fuel or other economic purposes.
What is farming?,Farming is the activity of growing crops and raising livestock for food and raw materials.
What is irrigation?,Irrigation is the artificial supply of water to crops to help them grow.
What is soil?,Soil is the upper layer of earth in which plants grow and which contains organic matter minerals and organisms.
What is fertilizer?,Fertilizer is a substance added to soil to increase its fertility and help plants grow better.
What is organic farming?,Organic farming is a method of farming that uses natural fertilizers and avoids chemical pesticides.
What is crop rotation?,Crop rotation is the practice of growing different crops on the same land in different seasons to improve soil health.
What is compost?,Compost is decomposed organic material used as natural fertilizer for plants.
What are pesticides?,Pesticides are chemicals used to kill pests insects or weeds that harm crops.
What is harvesting?,Harvesting is the process of collecting mature crops from the field.
What is tilling?,Tilling is the process of preparing soil for planting by turning and loosening it.
What are weeds?,Weeds are unwanted plants that grow among crops and compete for nutrients and water.
What is livestock farming?,Livestock farming is raising animals such as cows goats and poultry for food and other products.
What is dairy farming?,Dairy farming is the practice of raising animals like cows to produce milk.
What is poultry farming?,Poultry farming is raising birds such as chickens ducks and turkeys for meat and eggs.
What is greenhouse farming?,Greenhouse farming is growing plants in a controlled environment inside a glass or plastic structure.
What are pulses?,Pulses are edible seeds of legume plants such as lentils chickpeas and beans.
What are cereals?,Cereals are grains such as rice wheat maize and barley grown for food.
What is horticulture?,Horticulture is the cultivation of fruits vegetables flowers and ornamental plants.
What is plantation farming?,Plantation farming is growing a single crop such as tea coffee or rubber on a large scale.
What is subsistence farming?,Subsistence farming is farming where crops are grown mainly for the farmer's family consumption.
What is commercial farming?,Commercial farming is farming done to produce crops for selling in the market.
What is soil erosion?,Soil erosion is the removal of the top fertile layer of soil by wind or water.
What is drip irrigation?,Drip irrigation is a method where water is slowly delivered directly to plant roots through pipes.
What is sprinkler irrigation?,Sprinkler irrigation is a method where water is sprayed over crops like rainfall.
What is manure?,Manure is organic matter such as animal waste used as fertilizer to enrich soil.
What is crop protection?,Crop protection refers to methods used to protect crops from pests diseases and weeds.
What are hybrid seeds?,Hybrid seeds are seeds produced by cross breeding two different plant varieties to improve yield.
What is seed germination?,Seed germination is the process by which a seed begins to grow into a new plant.
What is soil fertility?,Soil fertility is the ability of soil to provide nutrients needed for plant growth.
What are micronutrients?,Micronutrients are essential nutrients needed by plants in small amounts such as zinc and iron.
What are macronutrients?,Macronutrients are nutrients required by plants in large quantities such as nitrogen phosphorus and potassium.
What is organic manure?,Organic manure is fertilizer made from plant or animal waste used to improve soil fertility.
What is sustainable agriculture?,Sustainable agriculture is farming that meets current food needs without harming future resources.
What is agroforestry?,Agroforestry is the practice of growing trees and crops together on the same land.
What is water conservation in farming?,Water conservation in farming means using water efficiently to reduce waste.
What is crop yield?,Crop yield is the amount of crop produced per unit of land area.
What is mechanized farming?,Mechanized farming uses machines such as tractors and harvesters to increase efficiency.
What is precision farming?,Precision farming uses technology like sensors and GPS to manage crops efficiently.
